name,parse,price,salecount
产品名称：KingFast/金�?f6m 128g,硬盘容量: 128GB,399,0
产品名称：士必得 Turbo 2243S16G,接口类型: SATA 2,229,0
产品名称：Samsung/三星 MZ-75E500...,硬盘容量: 500GB,1399,116
产品名称：KingSpec/金胜�?MSATA 1...,硬盘容量: 128GB,469,7
产品名称：Transcend/创见 TS256GES...,硬盘容量: 256GB,1199,5
产品名称：KingFast/金�?G-One 25...,硬盘容量: 256GB,599,0
产品名称：Samsung/三星 MZ-75E500...,硬盘容量: 500GB,1399,116
产品名称：KingSpec/金胜�?MSATA 1...,硬盘容量: 128GB,469,7
产品名称：Transcend/创见 TS256GES...,硬盘容量: 256GB,1199,5
产品名称：KingFast/金�?G-One 25...,硬盘容量: 256GB,599,0
产品名称：Lenovo/联想 SL700 固态硬...,硬盘容量: 120GB,449,21
产品名称：Transcend/创见 TS240GJD...,硬盘容量: 240GB,1999,3
产品名称：Lenovo/联想 联想 SL700 ...,硬盘容量: 128GB,485,268
产品名称：Lenovo/联想 SL700 固态硬...,硬盘容量: 120GB,449,21
产品名称：Transcend/创见 TS240GJD...,硬盘容量: 240GB,1999,3
产品名称：KingFast/金�?G-One,硬盘容量: 128GB,439,0
产品名称：Lenovo/联想 联想 SL700 ...,硬盘容量: 128GB,485,268
产品名称：Intel/英特�?固�?硬盘容量: 其他/other,2049,1,
产品名称：KingFast/金�?G-One,硬盘容量: 128GB,439,0
产品名称：Intel/英特�?固�?硬盘容量: 其他/other,2049,1,
产品名称：Transcend/创见 TS480GJD...,硬盘容量: 480GB,2999,1
产品名称：Toshiba/东芝 Q300 480G,硬盘容量: 480GB,1299,82
产品名称：Kingston/金士�?固态硬�?硬盘容量: 120GB,579,21,
产品名称：Transcend/创见 TS480GJD...,硬盘容量: 480GB,2999,1
产品名称：偲冠特 IDE 卧式 64GB DOM,硬盘容量: 64GB,245,0
产品名称：Toshiba/东芝 Q300 480G,硬盘容量: 480GB,1299,82
产品名称：Kingston/金士�?固态硬�?硬盘容量: 120GB,579,21,
产品名称：偲冠特 IDE 卧式 64GB DOM,硬盘容量: 64GB,245,0
产品名称：Lenovo/联想 超级�?40G,硬盘容量: 240GB,842,4
产品名称：Transcend/创见 TS512GSS...,硬盘容量: 512GB,1999,2
产品名称：偲冠特 T500 MSATA 64GB,硬盘容量: 64GB,269,1
产品名称：Samsung/三星 MZ-M5E250,硬盘容量: 250GB,998,102
产品名称：Lenovo/联想 超级�?40G,硬盘容量: 240GB,842,4
产品名称：Transcend/创见 TS512GSS...,硬盘容量: 512GB,1999,2
产品名称：偲冠特 T500 MSATA 64GB,硬盘容量: 64GB,269,1
产品名称：Samsung/三星 MZ-M5E250,硬盘容量: 250GB,998,102
产品名称：CRUCIAL/镁光 CT2050MX30...,硬盘容量: 2TB,4899,0
产品名称：Transcend/创见 TS128GMT...,硬盘容量: 128GB,899,6
产品名称：LITEON T10 480G,硬盘容量: 480GB,1749,2
产品名称：CRUCIAL/镁光 CT2050MX30...,硬盘容量: 2TB,4899,0
产品名称：Transcend/创见 TS128GMT...,硬盘容量: 128GB,899,6
产品名称：LITEON T10 480G,硬盘容量: 480GB,1749,2
产品名称：PLEXTOR/浦科�?PX-128M...,硬盘容量: 128GB,449,226
产品名称：Transcend/创见 TS256GMT...,硬盘容量: 256GB,1399,0
产品名称：PLEXTOR/浦科�?PX-128M...,硬盘容量: 128GB,449,226
产品名称：Intel/英特�?Optane 傲腾...,硬盘容量: 16GB,349,11
产品名称：Transcend/创见 TS256GMT...,硬盘容量: 256GB,1399,0
产品名称：烽火狼 士必�?K6M 60G,硬盘容量: 60GB,206,0
产品名称：Intel/英特�?Optane 傲腾...,硬盘容量: 16GB,349,11
产品名称：Transcend/创见 TS256GSS...,硬盘容量: 256GB,999,0
产品名称：烽火狼 士必�?K6M 60G,硬盘容量: 60GB,206,0
产品名称：影�?铠甲战将 128gb,硬盘容量: 128GB,399,158
产品名称：Transcend/创见 TS256GSS...,硬盘容量: 256GB,999,0
产品名称：烽火狼 士必�?M3-90G,硬盘容量: 90GB,253,2
产品名称：影�?铠甲战将 128gb,硬盘容量: 128GB,399,158
产品名称：KingSpec/金胜�?奇龙2....,硬盘容量: 128GB,369,0
产品名称：Transcend/创见 TS64GMTS...,硬盘容量: 64GB,499,2
产品名称：烽火狼 士必�?M3-90G,硬盘容量: 90GB,253,2
产品名称：KingSpec/金胜�?奇龙2....,硬盘容量: 128GB,369,0
产品名称：Transcend/创见 TS64GMTS...,硬盘容量: 64GB,499,2
产品名称：KingFast/金�?F9M 512G,硬盘容量: 512GB,1239,0
产品名称：影�?铁甲战将480G,硬盘容量: 480GB,999,180
产品名称：KingSpec/金胜�?MSATA �?..,硬盘容量: 64GB,369,5
产品名称：士必得 K7N-240G,接口类型: ngff,890,5
产品名称：KingFast/金�?F9M 512G,硬盘容量: 512GB,1239,0
产品名称：影�?铁甲战将480G,硬盘容量: 480GB,999,180
产品名称：KingSpec/金胜�?MSATA �?..,硬盘容量: 64GB,369,5
产品名称：士必得 K7N-240G,接口类型: ngff,890,5
产品名称：KingFast/金�?K6 128G,硬盘容量: 128GB,419,0
产品名称：Intel/英特�?傲腾M.2,硬盘容量: 32GB,899,1
产品名称：士必得 K7N8-240G,接口类型: ngff,910,9
产品名称：KingFast/金�?K6 128G,硬盘容量: 128GB,419,0
产品名称：PLEXTOR/浦科�?PX-256M...,硬盘容量: 256GB,999,72
产品名称：Intel/英特�?傲腾M.2,硬盘容量: 32GB,899,1
产品名称：士必得 K7N8-240G,接口类型: ngff,910,9
产品名称：Gloway 猛将60G SSD,硬盘容量: 60GB,399,2
产品名称：PLEXTOR/浦科�?PX-256M...,硬盘容量: 256GB,999,72
产品名称：AData/威刚 SP550 M.2 2...,硬盘容量: 240GB,579,1
产品名称：士必得 Lighting 6246T128...,接口类型: SATA 3,552,2
产品名称：Gloway 猛将60G SSD,硬盘容量: 60GB,399,2
产品名称：AData/威刚 SP550 M.2 2...,硬盘容量: 240GB,579,1
产品名称：士必得 Lighting 6246T128...,接口类型: SATA 3,552,2
产品名称：Kdata/金田 T3m-240GB,硬盘容量: 240GB,554,1
产品名称：LITEON T10 240G,硬盘容量: 240GB,749,428
产品名称：士必得 Lighting 6246T256...,接口类型: SATA 3,962,0
产品名称：Kdata/金田 T3m-240GB,硬盘容量: 240GB,554,1
产品名称：LITEON T10 240G,硬盘容量: 240GB,749,428
产品名称：KingSpec/金胜�?PCIE 3....,硬盘容量: 其他/other,9999,0
产品名称：士必得 Lighting 6246T256...,接口类型: SATA 3,962,0
产品名称：KingFast/金�?F9M.2,硬盘容量: 60GB,459,1
产品名称：KingSpec/金胜�?PCIE 3....,硬盘容量: 其他/other,9999,0
产品名称：士必得 K7N8-120G,接口类型: ngff,578,1
产品名称：KingFast/金�?F9M.2,硬盘容量: 60GB,459,1
产品名称：Samsung/三星 MZ-V6E250...,硬盘容量: 250GB,1888,58
产品名称：AData/威刚 SX930 120G,硬盘容量: 120GB,529,1
产品名称：士必得 K7N8-120G,接口类型: ngff,578,1
产品名称：Transcend/创见 TS1TMTS8...,硬盘容量: 其他/other,4380,0
产品名称：Samsung/三星 MZ-V6E250...,硬盘容量: 250GB,1888,58
产品名称：AData/威刚 SX930 120G,硬盘容量: 120GB,529,1
产品名称：KingSpec/金胜�?ZIF模块...,硬盘容量: 128GB,599,2
产品名称：Transcend/创见 TS1TMTS8...,硬盘容量: 其他/other,4380,0
产品名称：LITEON 睿�?V5S 128G,硬盘容量: 128GB,349,4
产品名称：KingSpec/金胜�?ZIF模块...,硬盘容量: 128GB,599,2
产品名称：影�?铁甲战将240G,硬盘容量: 240GB,599,158
产品名称：LITEON 睿�?V5S 128G,硬盘容量: 128GB,349,4
产品名称：Transcend/创见 TS960GJD...,硬盘容量: 960g,5110,0
产品名称：影�?铁甲战将240G,硬盘容量: 240GB,599,158
产品名称：士必得 Turbo 2243S16G,接口类型: SATA 2,229,0
产品名称：Transcend/创见 TS960GJD...,硬盘容量: 960g,5110,0
产品名称：偲冠特 M300 32GB,硬盘容量: 32GB,149,1
产品名称：士必得 Turbo 2243S16G,接口类型: SATA 2,229,0
产品名称：Intel/英特�?600P 512G ...,硬盘容量: 512GB,1699,61
产品名称：偲冠特 M300 32GB,硬盘容量: 32GB,149,1
产品名称：KingSpec/金胜�?MSATA 1...,硬盘容量: 128GB,469,7
产品名称：酷�?60g,硬盘容量: 60GB,299,5
产品名称：Intel/英特�?600P 512G ...,硬盘容量: 512GB,1699,61
产品名称：ov SSDOV21XSATA-240G,硬盘容量: 240GB,688,0
产品名称：KingSpec/金胜�?MSATA 1...,硬盘容量: 128GB,469,7
产品名称：酷�?60g,硬盘容量: 60GB,299,5
产品名称：ov SSDOV21XSATA-240G,硬盘容量: 240GB,688,0
产品名称：Lenovo/联想 超级�?40G,硬盘容量: 240GB,842,4
产品名称：Transcend/创见 TS480GJD...,硬盘容量: 480GB,2999,0
产品名称：CRUCIAL/镁光 CT525MX300...,硬盘容量: 525G,1059,115
产品名称：偲冠特 T500S 32GB,硬盘容量: 32GB,145,15
产品名称：Lenovo/联想 超级�?40G,硬盘容量: 240GB,842,4
产品名称：Apacer/宇瞻 黑豹120G,硬盘容量: 120GB,459.00,328
产品名称：偲冠特 SATA 卧式 16GB DO...,硬盘容量: 16GB,139.00,0
产品名称：Apacer/宇瞻 黑豹120G,硬盘容量: 120GB,459.00,328
产品名称：偲冠特 M300 500GB,硬盘容量: 500GB,999.00,0
产品名称：偲冠特 M300 500GB,硬盘容量: 500GB,999.00,0
产品名称：Toshiba/东芝 A100 240G,硬盘容量: 240GB,599.00,1453
硬盘容量: 8GB,尺寸: 其他,129.00,17
产品名称：Toshiba/东芝 A100 240G,硬盘容量: 240GB,599.00,1453
硬盘容量: 8GB,尺寸: 其他,129.00,17
硬盘容量: 120GB,尺寸: 2.5英寸,338.00,0
产品名称：ov SSDOV13SATA-120G,硬盘容量: 120GB,319.00,451
硬盘容量: 120GB,尺寸: 2.5英寸,338.00,0
产品名称：ov SSDOV13SATA-120G,硬盘容量: 120GB,319.00,451
硬盘容量: 128GB,尺寸: 其他,368.00,0
硬盘容量: 128GB,尺寸: 其他,368.00,0
产品名称：Samsung/三星 MZ-750120...,硬盘容量: 120GB,459.00,1293
产品名称：Samsung/三星 MZ-75E250...,硬盘容量: 250GB,699.00,1546
产品名称：Samsung/三星 MZ-75E250...,硬盘容量: 250GB,699.00,1546
产品名称：士必得 T6-120G,硬盘容量: 120GB,499.00,1307
产品名称：士必得 T6-120G,硬盘容量: 120GB,499.00,1307
产品名称：PLEXTOR/浦科特 PX-256M...,硬盘容量: 256GB,859.00,714
产品名称：PLEXTOR/浦科特 PX-256M...,硬盘容量: 256GB,859.00,714
产品名称：Lenovo/联想 SL700 固态硬...,硬盘容量: 128GB,495.00,501
产品名称：Lenovo/联想 SL700 固态硬...,硬盘容量: 128GB,495.00,501
产品名称：Lenovo/联想 SL700 固态硬...,硬盘容量: 256GB,941.00,153
产品名称：Lenovo/联想 SL700 固态硬...,硬盘容量: 256GB,941.00,153
产品名称：影驰 铁甲战将 120GB,硬盘容量: 120GB,399.00,1302
产品名称：影驰 铁甲战将 120GB,硬盘容量: 120GB,399.00,1302
产品名称：Samsung/三星 MZ-75E500...,硬盘容量: 500GB,1399.00,115
产品名称：Samsung/三星 MZ-75E500...,硬盘容量: 500GB,1399.00,115
产品名称：Lenovo/联想 联想 SL700 ...,硬盘容量: 128GB,485.00,280
产品名称：Lenovo/联想 联想 SL700 ...,硬盘容量: 128GB,485.00,280
产品名称：PLEXTOR/浦科特 PX-128M...,硬盘容量: 128GB,459.00,235
产品名称：PLEXTOR/浦科特 PX-128M...,硬盘容量: 128GB,459.00,235
产品名称：Toshiba/东芝 Q300 480G,硬盘容量: 480GB,1299.00,78
产品名称：Toshiba/东芝 Q300 480G,硬盘容量: 480GB,1299.00,78
产品名称：影驰 铠甲战将 128gb,硬盘容量: 128GB,399.00,161
产品名称：影驰 铠甲战将 128gb,硬盘容量: 128GB,399.00,161
产品名称：影驰 铁甲战将480G,硬盘容量: 480GB,999.00,194
产品名称：影驰 铁甲战将480G,硬盘容量: 480GB,999.00,194
产品名称：Samsung/三星 MZ-N5E250,硬盘容量: 250GB,809.00,188
产品名称：Samsung/三星 MZ-N5E250,硬盘容量: 250GB,809.00,188
产品名称：Samsung/三星 MZ-V6E250...,硬盘容量: 250GB,1888.00,65
产品名称：Samsung/三星 MZ-V6E250...,硬盘容量: 250GB,1888.00,65
产品名称：影驰 铁甲战将240G,硬盘容量: 240GB,599.00,171
产品名称：影驰 铁甲战将240G,硬盘容量: 240GB,599.00,171
产品名称：LITEON T10 240G,硬盘容量: 240GB,749.00,408
产品名称：LITEON T10 240G,硬盘容量: 240GB,749.00,408
产品名称：Intel/英特尔 600P 512G ...,硬盘容量: 512GB,1699.00,54
产品名称：Intel/英特尔 600P 512G ...,硬盘容量: 512GB,1699.00,54
产品名称：CRUCIAL/镁光 CT525MX300...,硬盘容量: 525G,1059.00,117
产品名称：CRUCIAL/镁光 CT525MX300...,硬盘容量: 525G,1059.00,117
产品名称：Kingston/金士顿 SA400S3...,硬盘容量: 120GB,405.00,271
产品名称：Kingston/金士顿 SA400S3...,硬盘容量: 120GB,405.00,271
产品名称：Toshiba/东芝 Q200 EX (...,硬盘容量: 240GB,659.00,165
产品名称：Toshiba/东芝 Q200 EX (...,硬盘容量: 240GB,659.00,165
产品名称：PLEXTOR/浦科特 PX-512M...,硬盘容量: 512GB,1599.00,65
产品名称：PLEXTOR/浦科特 PX-512M...,硬盘容量: 512GB,1599.00,65
产品名称：Sandisk/闪迪 SDSSDA-12...,硬盘容量: 120GB,372.00,340
产品名称：Sandisk/闪迪 SDSSDA-12...,硬盘容量: 120GB,372.00,340
产品名称：PLEXTOR/浦科特 PX-128M...,硬盘容量: 128GB,589.00,93
产品名称：PLEXTOR/浦科特 PX-128M...,硬盘容量: 128GB,589.00,93
